DATE,SALES,COST_OF_SALES,QUANTITY_SOLD
2014-10-14,69570.50147,66313.94098,1894
2014-10-15,130476.35530,124398.43160,3548
2014-10-16,95229.77348,91087.85134,2591
2014-10-17,121057.86130,116949.79130,3293
2014-10-18,169498.91640,164492.94660,4611
2014-10-19,90692.37588,87911.21158,2468
2014-10-20,101723.91500,98870.81188,2773
2014-10-21,103395.69130,100424.15570,2815
2014-10-22,99075.59910,96511.72216,2701
2014-10-23,97476.14472,94763.84255,2651
2014-10-24,248974.65280,241961.14320,6781
2014-10-25,302721.68330,294129.67110,8249
2014-10-26,128520.72780,124739.23390,3502
2014-10-27,145185.26830,140651.93720,3949
2014-10-28,89527.55663,87067.05132,2435
2014-10-29,81991.88284,80112.54801,2232
2014-10-30,69704.49111,68293.09639,1898
2014-10-31,166652.39480,163319.71650,4537
2014-11-01,247453.10220,242638.80120,6730
2014-11-02,148476.18120,145646.33680,4038
2014-11-03,205368.92260,201281.23900,5581
2014-11-04,99244.68185,90949.44225,2519
2014-11-05,72756.86310,67872.77433,1847
2014-11-06,86867.45808,84486.08609,2309
2014-11-07,140167.80390,136539.20330,3722
2014-11-08,160727.30280,156700.82500,4268
2014-11-09,74115.62878,71994.34639,1968
2014-11-10,76103.29152,73967.60569,2016
2014-11-11,56303.36657,54996.86661,1497
2014-11-12,49436.81586,48289.89228,1314
2014-11-13,55033.12240,53997.21887,1466
2014-11-14,149808.16590,146994.89550,3984
2014-11-15,180685.51070,176898.27780,4802
2014-11-16,75871.43677,73905.81016,2017
2014-11-17,86313.33408,84418.78911,2297
2014-11-18,62631.79875,61158.36109,1665
2014-11-19,48529.10336,47409.55406,1291
2014-11-20,51040.88137,50038.14263,1361
2014-11-21,53973.92224,47192.49828,1281
2014-11-22,47497.98253,41179.08825,1122
2014-11-23,31219.95153,26893.30468,737
2014-11-24,26870.32387,23516.04172,641
2014-11-25,40530.64229,35674.19076,968
2014-11-26,30371.43134,26054.84917,709
2014-11-27,37776.65877,32719.68964,880
2014-11-28,46818.20532,40652.57641,1096
2014-11-29,88321.62555,79880.24368,2068
2014-11-30,101037.82780,93177.88470,2375
2014-12-01,105100.66760,97257.39467,2492
2014-12-02,88219.52549,85533.42892,2170
2014-12-03,71590.36929,69654.93031,1784
2014-12-04,54996.62169,54503.02855,1368
2014-12-05,77884.18161,77619.29489,1914
2014-12-06,150370.11670,154998.83460,3765
2014-12-07,104675.37610,111903.73790,2712
2014-12-08,90121.53048,91081.66819,2222
2014-12-09,75425.44370,77014.25596,1861
2014-12-10,161844.80940,169348.51860,4095
2014-12-11,158603.35700,171692.99360,4157
2014-12-12,279092.09600,301236.10990,7259
2014-12-13,369350.98950,402564.67860,9654
2014-12-14,177500.10770,192327.32070,4632
2014-12-15,282246.62870,304489.63830,7341
2014-12-16,166037.92570,179571.12910,4308
2014-12-17,148910.99840,161137.52200,3865
2014-12-18,202359.14290,221435.76860,5288
2014-12-19,274343.65430,299516.83780,7141
2014-12-20,316167.07470,346378.30480,8268
2014-12-21,173833.40010,190644.50160,4541
2014-12-22,204565.08180,210188.90940,5014
2014-12-23,316394.73090,326627.13840,7778
2014-12-24,486230.32020,495909.08960,11809
2014-12-25,137686.53210,140525.78670,3344
